ID,OriginalID,Timestamp,Trial,counterbalance,phase_type,description_stop,paired_vid,onset,offset,description_content,importance,time,tag,vidpath,Datastring,data_set
Drun2M05_797,debugLshwz:debugwiv8i,1704383370549,12,1,test,1,2,20.0,50,The clip showed the lifecycles of a rock through different life changes and seasons. It ends with someone trying to break the rock.,3,34357,test_seg2_desc,/static/video/B/filmfest_clip8_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""The clip showed the lifecycles of a rock through different life changes and seasons. It ends with someone trying to break the rock."", ""importance"": ""3"", ""time"": 34357, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_797,debugLshwz:debugwiv8i,1704383547882,15,1,test,2,4,110.0,140,"The rock seems to be the symbolic for someone trying to live a quiet and idyllic life, but they're being pulled in multiple directions. At the beginning of the clip, the rock was forced into manual labor and then forced to fight in battle. It ultimately ends up discarded and at the bottom of the ocean.",5,73865,test_seg4_desc,/static/video/B/filmfest_clip8_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""The rock seems to be the symbolic for someone trying to live a quiet and idyllic life, but they're being pulled in multiple directions. At the beginning of the clip, the rock was forced into manual labor and then forced to fight in battle. It ultimately ends up discarded and at the bottom of the ocean."", ""importance"": ""5"", ""time"": 73865, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_797,debugLshwz:debugwiv8i,1704383694257,18,1,test,3,6,200.0,230,The rock manages to escape the ocean only to be collected as a museum specimen and then reduced to a mere pebble due to various unfortunate circumstances.,5,42723,test_seg6_desc,/static/video/B/filmfest_clip8_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""The rock manages to escape the ocean only to be collected as a museum specimen and then reduced to a mere pebble due to various unfortunate circumstances."", ""importance"": ""5"", ""time"": 42723, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_797,debugLshwz:debugwiv8i,1704383848050,21,1,test,4,8,290.0,320,"After being created for spaceship material, the rock is sent to outer space and ultimately becomes a new rock sediment for a different planet - starting the lifecycle of the rock again.",6,50676,test_seg8_desc,/static/video/B/filmfest_clip8_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""After being created for spaceship material, the rock is sent to outer space and ultimately becomes a new rock sediment for a different planet - starting the lifecycle of the rock again."", ""importance"": ""6"", ""time"": 50676, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1494,debuge24Jh:debugC16vZ,1704295994043,12,6,test,1,2,70.0,100,The rock got up and walked into the forest to find some peace. However the people came and moved the rock onto a cart and took it to the village. In the village the rock was put to work as a millstone at a windmill,4,68181,test_seg2_desc,/static/video/G/filmfest_clip8_G_1.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""100"", ""content"": ""The rock got up and walked into the forest to find some peace. However the people came and moved the rock onto a cart and took it to the village. In the village the rock was put to work as a millstone at a windmill"", ""importance"": ""4"", ""time"": 68181, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1494,debuge24Jh:debugC16vZ,1704296186051,15,6,test,2,4,160.0,190,The rock was found by a collector who saw a fossil on the back side of the rock. The collector took the rock to be displayed in a museum with other fossilized rocks. Somebody pushed against the display case and the rock fell out of the display case,4,84599,test_seg4_desc,/static/video/G/filmfest_clip8_G_3.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""190"", ""content"": ""The rock was found by a collector who saw a fossil on the back side of the rock. The collector took the rock to be displayed in a museum with other fossilized rocks. Somebody pushed against the display case and the rock fell out of the display case"", ""importance"": ""4"", ""time"": 84599, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1494,debuge24Jh:debugC16vZ,1704296366747,18,6,test,3,6,250.0,280,The rock was scooped up by a large industrialgrabber and put in a large truck. It was delivbered to a factory where it was melted down into a piece of glass. The glass was then used as a part of a space rocket which was seen blasting off into space,5,71154,test_seg6_desc,/static/video/G/filmfest_clip8_G_5.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""280"", ""content"": ""The rock was scooped up by a large industrialgrabber and put in a large truck. It was delivbered to a factory where it was melted down into a piece of glass. The glass was then used as a part of a space rocket which was seen blasting off into space"", ""importance"": ""5"", ""time"": 71154, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_297,debug88irJ:debuggqV6w,1704297251517,12,6,test,1,2,70.0,100,"The rock walks into the woods to escape the noise made by the humans. It plumps up some bushes and prepares to have a nap. As soon as the rock closes it's eyes, it's nose is lassoed by three humans and is transported by donkey into the settlement. People work the rock into a circular shape and create a millstone, which is then used to grind flour. The rock begins to get dizzy from spinning around inside the mill, and it shows windows rotating very quickly as though seen from the rock's viewpoint.",5,151039,test_seg2_desc,/static/video/G/filmfest_clip8_G_1.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""100"", ""content"": ""The rock walks into the woods to escape the noise made by the humans. It plumps up some bushes and prepares to have a nap. As soon as the rock closes it's eyes, it's nose is lassoed by three humans and is transported by donkey into the settlement. People work the rock into a circular shape and create a millstone, which is then used to grind flour. The rock begins to get dizzy from spinning around inside the mill, and it shows windows rotating very quickly as though seen from the rock's viewpoint."", ""importance"": ""5"", ""time"": 151039, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_297,debug88irJ:debuggqV6w,1704297500407,15,6,test,2,4,160.0,190,"The rock is picked up by an archeologist and is turned around to reveal a trilobite fossil. The archeologist is excited and labels it 'K. Invius', and exhibits it in public inside a wooden case. A young boy thrusts his face against the window of the cabinet, shaking it, and the rock falls backwards through a curtain and out of the cabinet.",3,143068,test_seg4_desc,/static/video/G/filmfest_clip8_G_3.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""190"", ""content"": ""The rock is picked up by an archeologist and is turned around to reveal a trilobite fossil. The archeologist is excited and labels it 'K. Invius', and exhibits it in public inside a wooden case. A young boy thrusts his face against the window of the cabinet, shaking it, and the rock falls backwards through a curtain and out of the cabinet."", ""importance"": ""3"", ""time"": 143068, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_297,debug88irJ:debuggqV6w,1704297760972,18,6,test,3,6,250.0,280,"The rock is now a very small fragment of sand. As soon as it begins to rest, it is scooped up by a mechanical digger and dumped onto a conveyor belt. This conveyor belt draws material into a furnace, where the rock plummets into. We then see an industrial press creating a glass disc with the rock's face on. It is collected by two people in haz mat suits and seemingly loaded onto a space rocket.",6,152708,test_seg6_desc,/static/video/G/filmfest_clip8_G_5.mp4,"{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/G/filmfest_clip8_G_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""280"", ""content"": ""The rock is now a very small fragment of sand. As soon as it begins to rest, it is scooped up by a mechanical digger and dumped onto a conveyor belt. This conveyor belt draws material into a furnace, where the rock plummets into. We then see an industrial press creating a glass disc with the rock's face on. It is collected by two people in haz mat suits and seemingly loaded onto a space rocket."", ""importance"": ""6"", ""time"": 152708, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_295,debug85fR7:debug3gE7v,1703780055700,12,2,test,1,2,30.0,60,There was a giant mountain with a face that fell asleep through the changing of time over what appears to be millions of years but was depicted quickly like the changing seasons. It went from dinosaurs appearing at the start to a dry sandy desert and then a lot of snow like an ice age before then ending with green grass and a tree on top of it and during this the mountain changed shape and became smaller before a human lumberjack appeared and chopped the tree down which woke what was now a small hill with a face up and then hill with the face went back to sleep.,6,269118,test_seg2_desc,/static/video/C/filmfest_clip8_C_1.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""60"", ""content"": ""There was a giant mountain with a face that fell asleep through the changing of time over what appears to be millions of years but was depicted quickly like the changing seasons. It went from dinosaurs appearing at the start to a dry sandy desert and then a lot of snow like an ice age before then ending with green grass and a tree on top of it and during this the mountain changed shape and became smaller before a human lumberjack appeared and chopped the tree down which woke what was now a small hill with a face up and then hill with the face went back to sleep."", ""importance"": ""6"", ""time"": 269118, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_295,debug85fR7:debug3gE7v,1703780434861,15,2,test,2,4,120.0,150,The rock with the face which was now a cannonball when the scene started was fired out of the ship and hit the mast of another ship they were in battle against shattering the mast and it appeared the ship was badly damaged and sinking before the cannonball with the face fell back into the sea where a strong current and slipstream pulled it away from the shore and into deeper sea. It was then washed up onto another shore in another location and began walking on legs from left to the right and there was a farmer visible ploughing a field/hill in the background with the rock visible walking in the foreground as the scene ended.,5,258085,test_seg4_desc,/static/video/C/filmfest_clip8_C_3.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""150"", ""content"": ""The rock with the face which was now a cannonball when the scene started was fired out of the ship and hit the mast of another ship they were in battle against shattering the mast and it appeared the ship was badly damaged and sinking before the cannonball with the face fell back into the sea where a strong current and slipstream pulled it away from the shore and into deeper sea. It was then washed up onto another shore in another location and began walking on legs from left to the right and there was a farmer visible ploughing a field/hill in the background with the rock visible walking in the foreground as the scene ended."", ""importance"": ""5"", ""time"": 258085, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_295,debug85fR7:debug3gE7v,1703780779445,18,2,test,3,6,210.0,240,The small rock bounced off the canopy and down into a street where it then fell again and landed onto what is then revealed to be a train track as a train could be heard in the background which then hit it and knocked it into the path of an oncoming car where it then got caught up inside some gears before then falling out again after becoming dislodged. It then grabbed a wrapper or some street rubbish on the street and covered itself up before a large roller type machine was rolling towards it and flattened it before then it was swept away by a road sweeping human down onto an area next to some water.,5,223338,test_seg6_desc,/static/video/C/filmfest_clip8_C_5.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""240"", ""content"": ""The small rock bounced off the canopy and down into a street where it then fell again and landed onto what is then revealed to be a train track as a train could be heard in the background which then hit it and knocked it into the path of an oncoming car where it then got caught up inside some gears before then falling out again after becoming dislodged. It then grabbed a wrapper or some street rubbish on the street and covered itself up before a large roller type machine was rolling towards it and flattened it before then it was swept away by a road sweeping human down onto an area next to some water."", ""importance"": ""5"", ""time"": 223338, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_295,debug85fR7:debug3gE7v,1703781159896,21,2,test,4,8,300.0,330,"The satellite was hurtling through space and started to burn up in the atmosphere of a planet before crash landing into the surface of a barren lifeless planet. Again time started to speed up and accelerate quickly, there was rain and wind before a mountain grew and appeared in the background with the face of the rock again just like the beginning of the story. The planet went from lifeless to full of life but the mountain was still tired and fell asleep again as the scene ended.",6,260360,test_seg8_desc,/static/video/C/filmfest_clip8_C_7.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""330"", ""content"": ""The satellite was hurtling through space and started to burn up in the atmosphere of a planet before crash landing into the surface of a barren lifeless planet. Again time started to speed up and accelerate quickly, there was rain and wind before a mountain grew and appeared in the background with the face of the rock again just like the beginning of the story. The planet went from lifeless to full of life but the mountain was still tired and fell asleep again as the scene ended."", ""importance"": ""6"", ""time"": 260360, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1252,debugYJBSm:debugEKfSj,1701961670002,12,2,test,1,2,30.0,60,"The rock sleeps while eons pass, the dinosaurs run, then go, the ice age comes and goes and the rock is tumbled and becomes smaller. Then the earth round the rock becomes green. The rock wakes to find a man chopping down a tree growing above him",6,158447,test_seg2_desc,/static/video/C/filmfest_clip8_C_1.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""60"", ""content"": ""The rock sleeps while eons pass, the dinosaurs run, then go, the ice age comes and goes and the rock is tumbled and becomes smaller. Then the earth round the rock becomes green. The rock wakes to find a man chopping down a tree growing above him"", ""importance"": ""6"", ""time"": 158447, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1252,debugYJBSm:debugEKfSj,1701961923857,15,2,test,2,4,120.0,150,"The rock dizzy from being a millstone is taken by soldiers and crushed them ground to be round. He's fired out of a cannon at a ship and shattered. He sinks down to the bottom, is swept away by waves and comes to rest amongst other pebbles",6,135899,test_seg4_desc,/static/video/C/filmfest_clip8_C_3.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""150"", ""content"": ""The rock dizzy from being a millstone is taken by soldiers and crushed them ground to be round. He's fired out of a cannon at a ship and shattered. He sinks down to the bottom, is swept away by waves and comes to rest amongst other pebbles"", ""importance"": ""6"", ""time"": 135899, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1252,debugYJBSm:debugEKfSj,1701962336594,18,2,test,3,6,210.0,240,"The rock/pebble lands in the road and is kicked by a man, carrying flowers, he ears jazz from, presumably, his girlfriend's flat. Infuriated he throws the stone through the wind of the flat knocking out the man in the flat. It bounces on the piano and goes out the window. He lands on the road and is caught in a a car's gears becoming smaller, then is spat out into the path of a steamroller, who reduces him to sand. He's then swept onto a beach.",5,295967,test_seg6_desc,/static/video/C/filmfest_clip8_C_5.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""240"", ""content"": ""The rock/pebble lands in the road and is kicked by a man, carrying flowers, he ears jazz from, presumably, his girlfriend's flat. Infuriated he throws the stone through the wind of the flat knocking out the man in the flat. It bounces on the piano and goes out the window. He lands on the road and is caught in a a car's gears becoming smaller, then is spat out into the path of a steamroller, who reduces him to sand. He's then swept onto a beach."", ""importance"": ""5"", ""time"": 295967, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1252,debugYJBSm:debugEKfSj,1701962638985,21,2,test,4,8,300.0,330,"The little rock is grabbed in a load of sand and gets heated at extreme temperatures to become a slab. He's then fired into space. The spacecraft his something and rock is deflected, eventually hitting a planet. Slowly the planet evolves round rock who dozes happily, just like the beginning.",6,186132,test_seg8_desc,/static/video/C/filmfest_clip8_C_7.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""330"", ""content"": ""The little rock is grabbed in a load of sand and gets heated at extreme temperatures to become a slab. He's then fired into space. The spacecraft his something and rock is deflected, eventually hitting a planet. Slowly the planet evolves round rock who dozes happily, just like the beginning."", ""importance"": ""6"", ""time"": 186132, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1316,debuga4ATG:debugcUPBG,1703777577123,12,2,test,1,2,30.0,60,"The scenery around the rock changes, from prehistoric land with dinosaurs, to desert to snow, to a lush forest scene. During the snowy scene, a glacier knocks the rock over. When the rock awakens in the forest scene, it has a man stood on top of it, who looks like an early american settler cutting down a tree which is on top of the rock.",5,77915,test_seg2_desc,/static/video/C/filmfest_clip8_C_1.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""60"", ""content"": ""The scenery around the rock changes, from prehistoric land with dinosaurs, to desert to snow, to a lush forest scene. During the snowy scene, a glacier knocks the rock over. When the rock awakens in the forest scene, it has a man stood on top of it, who looks like an early american settler cutting down a tree which is on top of the rock."", ""importance"": ""5"", ""time"": 77915, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1316,debuga4ATG:debugcUPBG,1703777846390,15,2,test,2,4,120.0,150,"The rock is being turned from a wheel into a canon ball by some soldiers. The rock is then put into a canon, which is located on a ship. The canon fires at another ship and hits the mast of the other ship. The soldiers who fired the canon start cheering. The rock sinks to the bottom of the water where it has been fired and starts breaking apart. The rock then is smaller and gets dragged along by a current at the bottom of the water, it tries to hang on to other things at the bottom of the water but cannot. The rock gets up out of the water and then emerges at a rural type scene, where it passes another larger rock and keeps walking.",5,117984,test_seg4_desc,/static/video/C/filmfest_clip8_C_3.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""150"", ""content"": ""The rock is being turned from a wheel into a canon ball by some soldiers. The rock is then put into a canon, which is located on a ship. The canon fires at another ship and hits the mast of the other ship. The soldiers who fired the canon start cheering. The rock sinks to the bottom of the water where it has been fired and starts breaking apart. The rock then is smaller and gets dragged along by a current at the bottom of the water, it tries to hang on to other things at the bottom of the water but cannot. The rock gets up out of the water and then emerges at a rural type scene, where it passes another larger rock and keeps walking."", ""importance"": ""5"", ""time"": 117984, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1316,debuga4ATG:debugcUPBG,1703778088910,18,2,test,3,6,210.0,240,"The rock bounces off the awning and lands on the road outside the shop. A lorry goes over the top of the rock and spins it around, the rock goes up into the machinery of a vehicle and gets crushed further so it is smaller. The rock then falls onto the road where it is run over by a steamroller and becomes even smaller. It is then being pushed along in a cloud of other small fragments of rock by a broom and pushed out onto a beach, where the pier which is made of rock and also has eyes looks at the rock.",4,90501,test_seg6_desc,/static/video/C/filmfest_clip8_C_5.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""240"", ""content"": ""The rock bounces off the awning and lands on the road outside the shop. A lorry goes over the top of the rock and spins it around, the rock goes up into the machinery of a vehicle and gets crushed further so it is smaller. The rock then falls onto the road where it is run over by a steamroller and becomes even smaller. It is then being pushed along in a cloud of other small fragments of rock by a broom and pushed out onto a beach, where the pier which is made of rock and also has eyes looks at the rock."", ""importance"": ""4"", ""time"": 90501, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1316,debuga4ATG:debugcUPBG,1703778290566,21,2,test,4,8,300.0,330,"After bouncing off the object in space, the rock starts hurtling towards a planet where it burns up in the atmosphere of the planet in a cloud of burning light. The rock hits the surface of the new planets, and after a while the surface of the planet starts changing. Clouds form and it rains on the planet and as the rocks on the planet change, the rock once again becomes a large mountain like at the start of the film, where it is overlooking water and vegetation. The rock looks at peace and eventually closes its eyes so it can sleep.",7,95736,test_seg8_desc,/static/video/C/filmfest_clip8_C_7.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""330"", ""content"": ""After bouncing off the object in space, the rock starts hurtling towards a planet where it burns up in the atmosphere of the planet in a cloud of burning light. The rock hits the surface of the new planets, and after a while the surface of the planet starts changing. Clouds form and it rains on the planet and as the rocks on the planet change, the rock once again becomes a large mountain like at the start of the film, where it is overlooking water and vegetation. The rock looks at peace and eventually closes its eyes so it can sleep."", ""importance"": ""7"", ""time"": 95736, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_115,debug3KYA2:debugSkxWE,1704385608414,12,1,test,1,2,20.0,50,"The rock fell asleep. It then went through a transistion while the rock was sleeping showing the change in the scenery around the rock. It went from the original to showing the dinasours. After that it moved to the dessert and then the ice age. During the ice age, an iceberg crashed into the rock which made it become smaller. It then changed the scenery to the green grass where the rock has grass growing on it. The rock was woken up by banging sounds of the guy standing on him cutting a tree on top of him\n",5,152553,test_seg2_desc,/static/video/B/filmfest_clip8_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""The rock fell asleep. It then went through a transistion while the rock was sleeping showing the change in the scenery around the rock. It went from the original to showing the dinasours. After that it moved to the dessert and then the ice age. During the ice age, an iceberg crashed into the rock which made it become smaller. It then changed the scenery to the green grass where the rock has grass growing on it. The rock was woken up by banging sounds of the guy standing on him cutting a tree on top of him\n"", ""importance"": ""5"", ""time"": 152553, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_115,debug3KYA2:debugSkxWE,1704385790444,15,1,test,2,4,110.0,140,"The rock was turned into a cannonball. The rock cannonball was put in a cannon and blasted to attack another ship, which it broke a big wooden pole on the ship. The cannonball broke apart and the small piece of rock went into the water. The rock was then swept up by the current",4,76591,test_seg4_desc,/static/video/B/filmfest_clip8_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""The rock was turned into a cannonball. The rock cannonball was put in a cannon and blasted to attack another ship, which it broke a big wooden pole on the ship. The cannonball broke apart and the small piece of rock went into the water. The rock was then swept up by the current"", ""importance"": ""4"", ""time"": 76591, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_115,debug3KYA2:debugSkxWE,1704385984506,18,1,test,3,6,200.0,230,"the rock waqs thrown through a window. The rock hit a man in the face and bounced off the piano. The rock went out the other window, slid down a canopy of a shop and ended up on the road. It got carried into a car from the wind of the travelling cars speed and the rock became smaller again. It then ended up back on the road, where it was flattened.",5,88993,test_seg6_desc,/static/video/B/filmfest_clip8_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""the rock waqs thrown through a window. The rock hit a man in the face and bounced off the piano. The rock went out the other window, slid down a canopy of a shop and ended up on the road. It got carried into a car from the wind of the travelling cars speed and the rock became smaller again. It then ended up back on the road, where it was flattened."", ""importance"": ""5"", ""time"": 88993, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_115,debug3KYA2:debugSkxWE,1704386180040,21,1,test,4,8,290.0,320,the glass which the rock had been turned into broke as the rocket travelled really fast through space and hit a rock in space.\nThe rocket gained speed and burned up as it landed on a planet.\nThere was then a time lapse where the planet grew and the rock became the same shape and size as he was in the beginning,6,89123,test_seg8_desc,/static/video/B/filmfest_clip8_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""the glass which the rock had been turned into broke as the rocket travelled really fast through space and hit a rock in space.\nThe rocket gained speed and burned up as it landed on a planet.\nThere was then a time lapse where the planet grew and the rock became the same shape and size as he was in the beginning"", ""importance"": ""6"", ""time"": 89123, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1965,debugrEfb7:debugEg8V2,1704382346674,12,1,test,1,2,20.0,50,"Time past by, thousands of years. from the age of the dinosaurs to the ice age then to our present time which caused the mountain to wither away into a rock that now has a tree growing on him.",7,309131,test_seg2_desc,/static/video/B/filmfest_clip8_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""Time past by, thousands of years. from the age of the dinosaurs to the ice age then to our present time which caused the mountain to wither away into a rock that now has a tree growing on him."", ""importance"": ""7"", ""time"": 309131, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1965,debugrEfb7:debugEg8V2,1704383438324,15,1,test,2,4,110.0,140,The soldiers crushed him into smaller pieces. they than ground him into a canon ball. They put him in a cannon on a ship and fired him onto the oppositions ship which broke the mast of the ship. He than landed in the sea and the current swept him away. ,6,306995,test_seg4_desc,/static/video/B/filmfest_clip8_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""The soldiers crushed him into smaller pieces. they than ground him into a canon ball. They put him in a cannon on a ship and fired him onto the oppositions ship which broke the mast of the ship. He than landed in the sea and the current swept him away. "", ""importance"": ""6"", ""time"": 306995, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1965,debugrEfb7:debugEg8V2,1704384400758,18,1,test,3,6,200.0,230,A jealous guy picks up the rock and throws it thru the window were his girlfriend and her admirer are seated. The  rock hits him in the face and lands on the street. It is picked up by the cars intake and in ground into a smaller size in the cars engine.,5,229069,test_seg6_desc,/static/video/B/filmfest_clip8_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""A jealous guy picks up the rock and throws it thru the window were his girlfriend and her admirer are seated. The  rock hits him in the face and lands on the street. It is picked up by the cars intake and in ground into a smaller size in the cars engine."", ""importance"": ""5"", ""time"": 229069, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1965,debugrEfb7:debugEg8V2,1704384718725,21,1,test,4,8,290.0,320,The controller of the telescope hits a button and he is launched forward. He hits a asteroid and land lands on a planet. The explosion makes him into a large mountain.,7,203763,test_seg8_desc,/static/video/B/filmfest_clip8_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""The controller of the telescope hits a button and he is launched forward. He hits a asteroid and land lands on a planet. The explosion makes him into a large mountain."", ""importance"": ""7"", ""time"": 203763, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_217,debug5r8Fj:debugD2HvT,1704395025924,12,0,test,1,2,10.0,40,"Scene changes from under water to above the water and it shows a large rock/mountain. This mountain lives through different seasons and periods of ages, it changes in shape somewhat.",5,56069,test_seg2_desc,/static/video/A/filmfest_clip8_A_1.mp4,"{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/A/filmfest_clip8_A_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""40"", ""content"": ""Scene changes from under water to above the water and it shows a large rock/mountain. This mountain lives through different seasons and periods of ages, it changes in shape somewhat."", ""importance"": ""5"", ""time"": 56069, ""tag"": ""test_seg2_desc""}",2023-2024 Run
